seller_sku,item_id_US,item_id_CA,BS_SKU,B_SKU,B_NZ_SKU
001BF_1,5237038481,2Y0STX3JNN24,,,
001BF_1_VAR,,6ZWUHH7992G5,,,
001BF_6,5242949021,6CUSNN7QH942,001BF,,
001BF_6_VAR,,5ED6VR86RDXF,,,
001BF_S,5234884397,19F4BDCV5T53,,,
001BF_S_VAR,,2S8W4GI21AFC,,,
001CY_1,5292350955,56R6PUYLQ9OW,,,
001CY_1_VAR,,1F9Q0KK4MQ7Q,,,
001CY_6,5290752081,2X7X9CP5VL5H,,,
001CY_6_VAR,,530CVVPBYSZ3,,,
001CY_S,5292400987,1GR6SAIDFDJD,,,
001CY_S_VAR,,6NECUS3RY98L,,,
001GF_1,5237088353,5DIMJ9LKD1WX,,,
001GF_1_VAR,,6JP72ZCGEN9H,,,
001GF_6,5290752080,2AI2SGV04H39,001GF,,
001GF_6_VAR,,3TFC7CRV987M,,,
001GF_S,5287923726,4LDTRGDFV2SO,,,
001GF_S_VAR,,37J4C6TP4UP2,,,
001OB_1,5290802242,2SYWUPMCMFUF,,,
001OB_1_VAR,,4U2FTIOIJSYQ,,,
001OB_6,5289704892,34K30A9R15RL,001OB,,
001OB_6_VAR,,4XAWT478EEI1,,,
001OB_S,5288967446,1P3WVZMFZ59G,,,
001OB_S_VAR,,6W8FV4Z30OA1,,,
002BS_1,5286561458,4EXSPZ6L7J3R,,,
002BS_1_VAR,,10YKKAPBTBBF,,,
002BS_6,5235748397,4M7X3SI6J10D,002BS,,
002BS_6_VAR,,3UQEOCVYJ8UQ,,,
002BS_S,5289754197,6YRTRAZESV8O,,,
002BS_S_VAR,,724DUENEHEW6,,,
009CB_1,5237088482,6CJWCA7LD4F7,,,
009CB_1_VAR,,39MQJQ8LR01U,,,
009CB_6,5239935150,4CG1QISTUWAQ,009CB,,
009CB_6_VAR,,10IWMF6ECESW,,,
009CB_S,5290752495,2S0WH0NP1ZPI,,,
009CB_S_VAR,,4FW7SSI6FKC9,,,
018OG_1,5232643650,5A7J1UMI9B81,,,
018OG_1_VAR,,2CILQIKXUIK0,,,
018OG_6,5232742367,2FOY9HC8TH0F,,,
018OG_6_VAR,,35JZQV4LQJG6,,,
018OG_S,5239935151,1OU8G09V34KR,,,
018OG_S_VAR,,6WLSIPDZLDWJ,,,
077GM_1,5286362659,5N5CFJX8ES3M,,,
077GM_1_VAR,,4H2JMF1W6S20,,,
077GM_6,5233776999,1QXL777T9YWT,077GM,,
077GM_6_VAR,,5OVCVYBI3M21,,,
077GM_S,5232593674,4M4S9WBOGHCH,,,
077GM_S_VAR,,3X7LEDE3V7HG,,,
10002400,2505074664,3HGBN7C74D5I,,10002400,10002400
10008102,3890494871,18KGKUPR7I7H,,10008102,10008102
100131,3097625162,4ECC5YI50MSM,,100131,100131
10030402,3428940309,3L5SE1G5UIFC,,10030402,10030402
108B11440,3277654141,64SVWFS58GRR,,11440 108B,11440 108B
110001,3896208213,618VIVNEFALL,,110001,110001
110031,3932882894,2G3GXBYBEJ2R,,"110031 6""","110031 6"""
110044,3691697927,5Z42KO7Q3BAH,,110044,110044
110068,3996911375,6NJL64JX431K,,"110068 12""","110068 12"""
110068,3996911375,6NJL64JX431K,,"110068 12""","110068 12"""
110073,2942835634,7KYMY1E42JWP,,"110073 12""","110073 12"""
110073,2942835634,7KYMY1E42JWP,,"110073 12""","110073 12"""
110076,3831786211,696YVGN6MQG1,,"110076 12""","110076 12"""
110076,3831786211,696YVGN6MQG1,,"110076 12""","110076 12"""
110078,1756642032,13PFLLIFTQLN,,"110078 12""","110078 12"""
110084,1595300145,6C0JI0S3HP7L,,"110084 12""","110084 12"""
110224,1359362822,496QP5OX4IG4,,110224,110224
110225,1554356692,3IRJB25EKV2A,,110225,110225
110237,2675662007,0XNLXM76MN2A,,110237,110237
110238,1546736962,771WQHWS2V34,,"110238 12""","110238 12"""
114901,3391409136,2CNW36HAUJ69,,,
117204,3559963470,3XWV8MPPVIND,,117204,117204
117903DL,1687999665,15DB2QPRIPH9,,,
121179,2227954749,6W81ZV43KO74,,121179,121179
13227N,2530633633,0TU3XEDGT7H9,,,
1332023,1554480813,6U5X1WEX03S6,,1332023,1332023
138901,3640372378,6GUJJDKHQZHL,,138901,138901
144202,3046193675,63SQHMMQ37FO,,144202,144202
144224,2126527719,17MIP572Z344,,144224,144224
144227,3014434774,2JIHZEHI89AB,,144227,144227
147908,3907373875,351QI5R1A7W7,,147908,147908
147908,3907373875,351QI5R1A7W7,,147908,147908
148900,2320916347,4BX5YIAR1DWX,,148900,148900
148900,2320916347,4BX5YIAR1DWX,,148900,148900
149TO_1,5286461755,3XDCJNEOIAXT,,,
149TO_1_VAR,,5XNEPMC6D6TH,,,
149TO_6,5236833152,1IJ7ZU270JR3,149TO,,
149TO_6_VAR,,1HLYAMXJLJKC,,,
149TO_S,5288420413,5PSK0H0IXLWL,,,
149TO_S_VAR,,6SW3L1G20MF4,,,
154218,2608921723,1AH3LZSI3V75,,154218,154218
166213,3302543347,4VH46NZXKB0H,,,
169237,2732648068,3DTNR0AURIFQ,,,
181WB_1,5242899091,3FWQWCFIJ9PX,,,
181WB_1_VAR,,3NW6NWQAQ9ZP,,,
181WB_6,5286561456,57S3MXL2OAHS,,,
181WB_6_VAR,,4966EQ6JQKCY,,,
181WB_S,5232643649,68Q1717P42PW,,,
181WB_S_VAR,,2RB55H4O9S5Z,,,
182WG_1,5227797736,73VJQ24T1RDW,,,
182WG_1_VAR,,1HYDAZ2CRLOW,,,
182WG_6,5286412769,1UFZI6NMT1RZ,,,
182WG_6_VAR,,6E4D0LLEO2P1,,,
182WG_S,5239939663,71MYQLDHG9UU,,,
182WG_S_VAR,,4GEJDRBJUURR,,,
185FB_1,5293209264,36HFXVN4BSHL,,,
185FB_1_VAR,,6MWV9RTNFEN7,,,
185FB_6,5289553362,4F7NT8DOUF39,,,
185FB_6_VAR,,65GHAF03IA02,,,
185FB_S,5288917567,2PRLOQ40IJ7K,,,
185FB_S_VAR,,6CIA8L0IM1Z4,,,
186FB_1,5232742369,6HYMEJOQAXBV,,,
186FB_1_VAR,,398IPR8YQN1Y,,,
186FB_6,5297114081,2CE6P4858IXS,,,
186FB_6_VAR,,2NQ4WHKEV9RP,,,
186FB_S,5242081178,3YURORRYZLH0,,,
186FB_S_VAR,,6A3LPMVW3PTT,,,
190901,2295167977,3WRLVL1DFY3A,,190901,190901
190901,2295167977,3WRLVL1DFY3A,,190901,190901
191912,3977787159,0TJR2ISGJ4OQ,,191912,191912
208B12157,3608274072,47AGZXC6KEYW,,12157 208B,12157 208B
2111,3723206456,,,2111,2111
2111,3723206456,,,2111,2111
2131,3731733229,,,2131,2131
2131,3731733229,,,2131,2131
2152,2748671264,,,2152,2152
2152,2748671264,,,2152,2152
2161W,2921118834,,,2161W,2161W
21887,1512073556,4EA3SRMXY642,,21887,21887
2191,2817363438,,,2191,2191
2191,2817363438,,,2191,2191
2194W,1897153635,,,2194W,2194W
2201,3745481872,,,2201,2201
2201,3745481872,,,2201,2201
220B27182,3970622939,0SB7LP1KEX7D,,27182 220B,27182 220B
220B27191,2122141054,1FE12ECGC20N,,27191 220B,27191 220B
2210W,2570620332,,,2210W,2210W
2211,3286627461,,,2211,2211
2211,3286627461,,,2211,2211
221B44300,2687686734,5Z8PSNO6G3PH,,44300 251B,44300 251B
222B49526,2280871009,1GRDCPQSRP6T,,,
223B38284,3088585957,0WLQH80E7H61,,38284 223B,38284 223B
2257W,1407769083,,,2257W,2257W
2264,2998363826,,,2264,2264
2264,2998363826,,,2264,2264
227B55714,2541725028,3ERSE3EMSY84,,55714 227B,55714 227B
2301,3106584198,,,2301,2301
2302,2791774378,,,2302,2302
2302,2791774378,,,2302,2302
2343W,2704866200,,,2343W,2343W
2357,3373144908,,,2357,2357
2357,3373144908,,,2357,2357
236B55323,2255872661,5ZY06EKNIM3S,,55323 236B,55323 236B
2371,2491737488,,,2371,2371
2371,2491737488,,,2371,2371
237SR_1,5294218404,281YN85BJ42D,,,
237SR_1_VAR,,59XVINZHWXFA,,,
237SR_6,5239885403,2CHIC3CCUYS3,,,
237SR_6_VAR,,55NGKBWDE97O,,,
237SR_S,5300424673,3Q10W5DZEYIS,,,
237SR_S_VAR,,5WTPRTJIDFNL,,,
2382,3296147616,,,2382,2382
2382,3296147616,,,2382,2382
2411,2548366227,,,2411,2411
2411,2548366227,,,2411,2411
241B63542,2489403339,6UQWAZ6LCJS7,,63542 241B,63542 241B
241PG_1,5293209263,2Y9GXEVLUA6U,,,
241PG_1_VAR,,4BKSIZWLFO5C,,,
241PG_6,5242031591,13KHSZINS5ZF,,,
241PG_6_VAR,,2S5ZYXH1EDCI,,,
241PG_S,5295163013,108UMRIEDMSK,,,
241PG_S_VAR,,39EQEIZ4XRNC,,,
242PP_1,5286412228,20P2BI0JGP8W,,,
242PP_1_VAR,,4SL6BRNP5HCL,,,
242PP_6,5288420412,3RL75LBRV57K,242PP,,
242PP_6_VAR,,4O0FODXLB99C,,,
242PP_S,5236988563,3VP8ED95OLGH,,,
